Students	30000
436	44 1839 1941 1535
437	1864 3573 2084 3737
438	4453 1437 4772 3978
439	2988 1919 3838 232
440	4172 3669 1382 4458
441	2194 2225 774 2216
442	3287 2586 877 446
443	1206 2817 3092 2653
444	1895 169 4145 3398
445	626 254 1180 2293
446	1337 1783 4094 937
447	923 2152 1068 278
448	4500 3095 1992 4507
449	242 4588 4003 3700
450	4385 2632 1376 4374
451	1335 2200 1752 4766
452	2060 2249 2584 2916
453	2875 742 3986 2460
454	4383 4163 95 775
455	2288 4239 3968 823
456	2626 2923 1728 3577
457	3054 2100 3834 3291
458	207 3571 3256 4641
459	4078 498 935 1837
460	1300 3564 4122 1253
461	2373 2071 2076 1024
462	1970 474 4775 3888
463	2771 3568 3002 440
464	1867 327 3581 3988
465	4794 2327 1141 4439
466	2203 2495 1435 1742
467	2164 4602 447 511
468	4914 1431 4919 619
469	4601 1622 3166 2125
470	3452 3176 4330 315
471	4741 2915 4483 3367
472	2603 470 976 4134
473	11 885 2304 1253
474	3095 4541 3885 776
475	243 826 876 2155
476	1541 4094 4473 3962
477	1674 1584 3558 1394
478	2420 2813 3789 1325
479	1713 3841 1809 4681
480	1399 723 658 1498
481	1538 566 4398 1746
482	3277 2096 416 418
483	130 2524 2887 1205
484	3231 3196 2966 4432
485	3846 857 1697 1426
486	1851 2037 570 3907
487	5000 3657 3440 4935
488	2650 4522 120 1704
489	1218 4144 2742 3671
490	351 1764 1637 1064
491	4506 4529 4501 4232
492	4290 2140 4409 90
493	1897 344 1110 3667
494	3637 4468 674 88
495	461 114 1781 245
496	2350 2085 1100 968
497	3380 3318 460 4312
498	1582 591 4621 1576
499	1906 3868 2231 1386
500	2822 3085 693 261
501	4998 4855 1297 171
502	69 1563 2683 209
503	3731 3796 1054 1753
504	2347 3544 379 1667
505	1716 2545 4759 881
506	990 4567 3464 3191
507	519 30 3634 2435
508	3241 797 1026 1347
509	2523 82 4328 4888
510	1995 4561 2654 4621
511	2995 873 4833 2623
512	3051 1835 1735 2390
513	3157 1920 2060 473
514	1059 4588 1060 3918
515	1921 4163 543 1749
516	3493 2414 6 293
517	569 3383 4896 303
518	3320 2055 1108 4105
519	2061 2083 3976 2906
520	763 282 2051 2455
521	4850 26 1930 318
522	2469 76 1738 3570
523	55 3815 691 3954
524	2642 2221 1332 913
525	580 1243 4767 4982
526	235 4213 2910 1155
527	1314 1677 2626 4002
528	4053 876 4629 3818
529	850 4399 4341 2224
530	3741 1185 2130 696
531	2270 2633 2620 4184
532	3972 3563 1215 2383
533	3395 2014 3840 2599
534	1770 2392 1725 2382
535	583 3334 2192 2915
536	2878 1519 1945 1293
537	4584 755 3592 3483
538	2229 1322 1768 4525
539	2161 3072 1583 2035
540	1111 4301 1339 1817
541	3240 2264 63 349
542	4340 183 4884 630
543	71 298 2297 1539
544	4843 301 1951 3105
545	2494 2090 2334 3423
546	353 2336 343 2865
547	1717 4597 3671 1797
548	2540 556 1620 3420
549	4166 4242 690 4266
550	2801 3369 1158 4289
551	1850 2264 1204 3457
552	1085 4348 400 4274
553	1385 135 3193 3103
554	4601 4882 4119 3468
555	290 4874 662 1449
556	1983 1264 236 1730
557	1421 1951 2386 3920
558	514 1324 3945 1322
559	4428 1497 3213 762
560	4285 704 1717 334
561	1957 1676 482 657
562	4774 1465 4018 1338
563	2881 1443 3089 2930
564	2168 1024 3451 1437
565	266 3343 2687 4026
566	901 2326 2364 494
567	2878 692 533 3394
568	1309 1775 899 3880
569	1028 2240 4524 4776
570	991 4659 2851 4512
571	239 1389 4037 1172
572	4475 3755 2720 1287
573	4737 1118 296 434
574	3020 303 2763 2314
575	2034 70 2120 3504
576	2984 2815 3950 1453
577	4954 4642 1059 3839
578	944 2999 4223 782
579	3279 1492 1155 4411
580	1954 4645 1582 4566
581	3840 4643 1738 3018
582	3631 499 3132 2182
583	255 1219 1994 2328
584	3493 3972 4356 3249
585	1732 4896 3263 3188
586	4908 2049 585 2888
587	4314 1370 4399 3257
588	3235 2909 4837 3665
589	2694 483 1855 2964
590	3270 1574 2934 3238
591	1253 157 4529 2090
592	1907 4377 3088 3167
593	4304 2986 3847 3045
594	1008 3153 2960 4660
595	2610 2112 1991 1048
596	4802 2840 2507 1234
597	1115 4041 651 1947
598	3832 1618 835 1422
599	1489 2156 4208 414
600	3345 785 4646 1685
601	2543 1011 4774 4578
602	3235 2348 4815 617
603	1746 2894 2103 2957
604	4155 668 1081 406
605	2134 4817 3987 702
606	154 603 2857 247
607	639 786 2362 4767
608	2254 3274 1638 4071
609	1439 1176 2054 1605
610	4717 1968 2605 1527
611	1301 3087 2766 1382
612	1350 4713 4554 1615
613	2971 2778 620 4495
614	3095 1753 3430 2764
615	2615 3703 3369 4415
616	333 485 387 1423
617	2968 1165 3155 453
618	3752 2414 471 3423
619	352 2351 2496 96
620	1417 1346 2736 3490
621	932 3338 3089 2981
622	1635 4343 1861 3252
623	4667 2679 2840 2396
624	1570 1917 86 2041
625	4162 4359 4493 446
626	79 1599 1596 2573
627	292 1223 4149 4675
628	154 4244 4359 331
629	1766 3459 4958 1966
630	1464 419 1711 1100
631	2041 368 263 19
632	1924 4775 2972 638
633	3860 2436 1537 2555
634	3918 4579 3733 3909
635	4457 4684 4495 1690
636	807 4450 2467 3667
637	2945 1356 1890 4555
638	2583 2954 581 4404
639	708 1305 3629 1378
640	1118 2867 3052 2870
641	659 2818 3999 3679
642	255 846 1373 415
643	2080 1221 2013 4166
644	4119 3732 4584 400
645	4403 2322 4087 4197
646	3404 2917 2809 770
647	658 4652 3529 390
648	4080 47 850 2712
649	4549 3489 3629 4077
650	886 1809 2095 970
651	4053 4876 417 821
652	4267 3743 175 26
653	4203 3166 2563 2128
654	3860 2780 2580 2822
655	2260 1176 4225 2845
656	4495 719 1700 156
657	4751 2679 2104 444
658	1711 944 4561 4146
659	3008 2783 390 1563
660	3174 3485 2887 3439
661	1654 2759 1772 1705
662	10 3939 4941 919
663	3188 1971 4185 985
664	3000 4881 63 1745
665	1229 903 1517 2129
666	2785 4118 679 467
667	216 693 2058 1760
668	701 2565 80 821
669	362 1199 1083 2134
670	2658 572 2230 576
671	3419 1408 3603 3093
672	2501 230 2393 1441
673	2410 2872 4962 3000
674	3619 2598 4418 623
675	1802 3984 673 2789
676	3212 2765 2139 1110
677	3730 86 2602 4094
678	2469 2413 3414 2100
679	787 1835 1384 609
680	3115 3808 1023 4317
681	1587 1759 4716 1452
682	1239 1224 4795 2141
683	1773 1669 3024 1337
684	3031 399 4074 551
685	394 1414 2840 4760
686	4089 3960 3837 4919
687	4614 2511 4103 262
688	4256 703 1600 595
689	4515 3337 519 1061
690	3500 4269 513 2014
691	4367 880 2072 4985
692	1262 1981 1900 2826
693	2103 2567 732 4708
694	1774 2601 2875 4135
695	4899 274 4439 3725
696	1328 2306 1546 2501
697	695 2471 459 4384
698	146 1464 3760 2786
699	3214 4350 2306 1561
700	1502 688 1312 3277
701	1538 4942 4500 4231
702	4018 3176 2012 1768
703	4580 4452 1576 2280
704	4570 1609 2056 1460
705	859 4481 1938 2395
706	4131 1710 673 4594
707	4820 3376 3320 4752
708	1924 1128 1133 4696
709	2575 3677 4865 1533
710	4685 1452 811 219
711	2357 3514 1084 4016
712	2509 3061 1136 3125
713	3135 3867 254 2079
714	697 1956 956 666
715	3859 3778 4114 3498
716	3240 4903 4058 2207
717	492 988 2109 333
718	3149 4033 3306 434
719	3586 951 1769 1037
720	2560 4474 167 2731
721	412 2890 2268 4658
722	1691 3755 4166 3783
723	2786 2339 621 2648
724	49 4481 2176 4727
725	4605 631 4484 4350
726	937 2195 2301 2277
727	1736 2905 1995 4192
728	1239 3472 1515 3287
729	1388 2526 2676 1970
730	2655 5 148 1185
731	3271 1236 3952 2388
732	3054 2860 4779 512
733	863 967 462 1194
734	2368 2143 4077 4607
735	2914 30 2976 2827
736	1519 1006 4666 4098
737	2823 3281 372 3487
738	158 4350 1142 446
739	1936 2962 1862 3937
740	4668 1540 961 4276
741	1872 4149 2345 3141
742	1710 4193 1015 2570
743	956 1096 1552 2052
744	4802 4402 3405 2116
745	467 3360 2417 1484
746	1880 770 3043 3802
747	2924 3232 947 4018
748	493 4289 4491 3407
749	1863 3909 3708 2312
750	4324 3390 4622 4585
751	585 824 4921 30
752	31 2475 1522 3631
753	1188 1715 3097 1843
754	1963 841 3322 3434
755	4774 4379 2058 589
756	4178 4217 3485 748
757	4105 4478 3206 2740
758	4332 4038 1470 1552
759	1135 4466 4860 2789
760	2426 185 4562 3785
761	3797 3443 584 3011
762	4099 1171 3109 208
763	4116 1740 1434 2349
764	3156 1646 2351 1474
765	3253 3098 2211 1834
766	1269 662 4549 754
767	3339 1622 3905 4047
768	4346 344 100 1422
769	1051 55 3696 598
770	4886 3513 934 3378
771	3683 528 66 4518
772	2764 283 3529 1545
773	146 3663 3814 3737
774	3250 2899 2524 1975
775	1690 1794 1013 2558
776	783 4881 4059 1773
777	356 2101 1247 118
778	4932 54 632 3737
779	2135 691 3777 3378
780	1238 4190 1506 239
781	1539 3969 661 2080
782	4141 1812 4407 3322
783	4859 4177 4194 4483
784	1989 3148 561 4466
785	665 1669 1504 379
786	209 1375 903 2734
787	3209 2267 1531 2089
788	3087 3060 1626 4271
789	2279 4069 4143 4630
790	2232 126 2133 4250
791	1690 4191 2612 3274
792	723 4782 2813 4378
793	3053 2237 4235 14
794	1169 4596 4036 39
795	1672 3712 4455 271
796	3347 3291 1182 993
797	2422 3255 2435 2329
798	2908 3894 3557 3301
799	251 4253 664 4583
800	1636 4621 2527 2806
801	2503 3393 2857 4658
802	2109 4191 1290 2075
803	3605 737 3094 4859
804	213 2360 286 3176
805	1795 3146 4877 232
806	2837 3092 3349 3047
807	2460 1278 1529 3684
808	276 2163 375 1482
809	3363 2920 4185 2267
810	3292 2975 2440 3997
811	3489 3113 385 4727
812	3552 4001 35 2873
813	4491 4384 207 2839
814	3149 3629 4305 4736
815	1771 3430 2690 2919
816	4229 3083 4983 1914
817	1014 3739 3269 4089
818	3316 774 1979 2638
819	621 1977 2847 1577
820	1791 1680 457 1863
821	817 4455 1142 1320
822	4125 3295 1570 154
823	1431 3605 928 1665
824	3888 293 2955 2561
825	2213 3218 841 3770
826	4249 3270 4479 2900
827	2333 126 2506 4604
828	4689 2873 741 1182
829	4172 4117 2806 133
830	3891 4129 2269 3186
831	802 2152 4289 1318
832	344 2062 2435 1335
833	1635 2348 851 2107
834	2005 3517 1617 115
835	1541 2788 2033 1428
836	4485 1645 4253 2232
837	372 4938 2500 540
838	3614 3708 3045 3587
839	2246 1336 3526 2793
840	2918 4682 2707 946
841	2111 2276 601 4955
842	4482 3635 3360 854
843	1098 1398 607 2792
844	2922 2027 842 1969
845	1919 454 3331 3520
846	1700 2875 3013 460
847	1082 4033 509 4053
848	3809 2181 2321 4568
849	1045 704 985 1761
850	4950 4181 802 4698
851	2475 2847 3004 3535
852	1657 4698 3922 4682
853	4706 3436 4176 4564
854	4499 2375 4620 2942
855	1108 4172 1115 148
856	2381 594 3265 4342
857	536 654 4314 2262
858	3196 3697 3179 4461
859	1246 1728 4404 2331
860	3544 4466 4844 2848
861	4667 1771 3506 2880
862	1014 936 4918 593
863	3184 1406 77 3276
864	1573 4282 3664 210
865	3679 4089 2250 3809
866	1920 929 1521 2375
867	1901 3070 3423 2700
868	2295 1046 2060 4566
869	1865 459 4548 2484
870	4110 2259 4743 1001
871	4388 2528 326 371
872	3940 1797 1519 1584
873	4567 2907 1329 1852
874	887 2228 1485 4729
875	4467 3055 870 2787
876	3031 645 2557 80
877	4525 2220 4297 2687
878	732 3446 3310 2082
879	236 2124 4283 699
880	4824 3808 1979 4340
881	4482 4790 3589 1056
882	1332 1617 2837 2469
883	451 230 1720 1407
884	1195 847 3088 4882
885	507 4212 3880 476
886	3623 2345 713 1594
887	2471 4960 4645 981
888	150 568 650 653
889	1770 1420 4791 4574
890	3117 1049 3095 247
891	596 4700 2816 2870
892	2356 1290 3689 1894
893	3721 3372 2763 2292
894	2050 1326 837 1362
895	4909 2615 2125 534
896	1356 1435 434 4157
897	2921 1559 2738 3949
898	2147 3324 2833 1438
899	1954 2817 3793 3063
900	389 2657 969 232
901	2980 2858 4309 2697
902	4027 4982 2182 3699
903	4865 1842 2681 3928
904	4950 3949 4413 2940
905	2329 1490 3193 2180
906	535 195 150 1601
907	1778 4851 3719 4311
908	1533 1459 3698 3062
909	801 2115 177 2446
910	2549 4256 4093 2544
911	2635 2180 1702 3672
912	4191 4949 2255 2870
913	3245 323 894 2414
914	2023 3143 1793 2913
915	725 3155 965 1501
916	1830 3121 3175 2018
917	4639 3045 1079 3440
918	3328 4490 904 1802
919	1550 293 2682 405
920	408 1253 2669 3756
921	2430 2660 3168 4793
922	156 4326 3439 2043
923	2882 3309 3798 1980
924	435 869 880 727
925	3073 4798 1378 3084
926	1530 4904 1492 3392
927	1092 3550 2854 3123
928	1440 2378 4382 833
929	989 1134 3641 3947
930	1710 213 1645 3997
931	104 765 4189 1723
932	1319 2916 912 4892
933	4420 4672 30 536
934	19 2000 1738 2503
935	581 352 3302 1908
936	4712 2818 3164 4093
937	3899 1299 3543 4621
938	2879 384 4953 4412
939	3169 471 2350 262
940	838 454 4715 1476
941	305 2626 385 2349
942	1603 4392 2400 2556
943	925 4681 1051 696
944	2430 1369 2378 2933
945	736 1388 3119 2958
946	704 4010 1651 2807
947	2249 1982 4496 1899
948	3688 3940 584 4457
949	1660 1912 1325 9
950	2786 1560 4899 2372
951	1939 2407 617 2545
952	1416 8 4568 3643
953	81 4438 631 921
954	2270 1509 1705 4299
955	4202 2571 1322 674
956	4736 189 463 4667
957	4672 3308 2257 1871
958	1522 4028 2507 3052
959	2729 1811 2542 4937
960	64 4820 1587 2229
961	126 274 1454 1359
962	4144 3878 340 2266
963	4173 813 4707 1614
964	4230 2760 1518 1217
965	4169 481 4447 1981
966	1473 2477 4457 2055
967	2639 870 1392 2594
968	4929 1476 751 56
969	2973 4855 4783 1219
970	4578 2199 790 4472
971	4017 3171 143 741
972	3891 3154 9 2000
973	1948 3948 1205 3299
974	273 3271 452 1995
975	273 3760 737 312
976	4445 2762 4538 4839
977	114 4487 423 405
978	959 4821 3702 150
979	36 1059 2381 1363
980	1379 300 4931 777
981	2548 1160 4422 2819
982	4294 2921 3090 1632
983	3076 4107 2597 3317
984	2264 662 1315 4452
985	1614 2400 3185 3774
986	14 4719 701 539
987	2533 900 1805 4118
988	642 852 3956 3348
989	3958 195 4947 1074
990	2413 3963 701 1581
991	4981 2480 3858 2641
992	2741 484 4605 1079
993	1479 183 2380 3786
994	3273 4531 4622 380
995	4683 4672 4024 3301
996	640 2784 4149 296
997	768 4565 4315 3546
998	1292 4772 3085 2221
999	4630 610 2174 3015
1000	1026 4549 3383 3188
1001	1714 1588 3904 1291
1002	277 1764 3890 2869
1003	3219 3440 189 1957
1004	4956 4779 4972 3828
1005	2269 1637 325 1461
1006	4651 796 2673 1316
1007	1654 4860 3823 783
1008	304 2917 915 2848
1009	2581 1191 2430 1967
1010	2051 1683 3572 567
1011	3436 1375 537 3239
1012	4773 3930 1078 1182
1013	2982 2167 3959 4489
1014	4054 4717 3587 3838
1015	3522 1426 1054 4338
1016	3655 3672 4624 866
1017	1537 424 1189 893
1018	2323 370 582 4764
1019	1011 2769 3646 538
1020	2741 4236 2382 2128
1021	3140 3446 160 2826
1022	3692 3040 1116 1500
1023	454 776 1392 4572
1024	3040 260 4501 2267
1025	3374 3465 1852 2779
1026	3998 464 548 806
1027	3135 4525 3927 3889
1028	219 3393 3925 3045
1029	1604 3562 4943 1184
1030	1673 1601 4102 4498
1031	910 3834 1425 2850
1032	2925 3368 2539 4598
1033	4039 492 2015 330
1034	3392 2074 3840 1872
1035	1472 1649 4826 133
1036	395 400 3015 82
1037	3719 4273 1366 2164
1038	318 2513 2732 2956
1039	127 2394 2557 4000
1040	1024 4864 713 1568
1041	660 799 2770 3261
1042	4711 1365 3257 3718
1043	4424 3222 256 4364
1044	4785 1453 1164 3900
1045	1624 4993 1844 1530
1046	2956 23 4246 579
1047	4246 1275 1243 1830
1048	3680 1283 4991 4520
1049	247 3282 3885 450
1050	2287 4327 877 2862
1051	1214 1364 1754 132
1052	614 1644 3298 3495
1053	4484 395 4309 2878
1054	4729 2808 4051 3015
1055	2483 4718 1185 4651
