Course	Room	Teacher	Time	Students
007368	PK20	4354081	11	3819393 3875914 3884178 3843290 4275968 3821044 3995719 4277527 3711764 3942061 4181036 3905623 3691794 4278502 3891249 4000812 3901577 3941346 4073784 4280365 4193293 4281029 4133513 4132153 3819332 4140702 4138433 4280500 4162177 4279995 4278485 4280526 3905822 4093748 3931449 4280648 4180325 4003045 3910427 4175888 4169561 4236548 4093370 4134616 4055257 4093409 3821069 4003319 4280050 3950836 3910185 
002992	PK20	4358918	12	4372224 4276195 4276031 4260945 3814296 4277274 3942061 4258417 4092335 4371027 4176789 4095190 4278502 4000253 4371956 4127014 4230476 3929739 4095088 4092290 3674492 4176668 4276784 4280365 3817419 4081695 4095703 3821958 4077315 4282115 3913138 4095985 3816483 3937404 4091877 4062513 4165473 4000795 3927400 4280475 4070957 4090845 4175322 4280706 4003163 4001712 4280607 4092173 
002562	PK20	1168490	13	3913185 4095047 3821687 3910516 3902196 4277274 3956631 4095302 4231518 4175374 4151626 4175290 4086375 3934527 4280941 4230476 3905871 4086635 3910623 3969214 4276784 4096964 3818773 4281163 3901004 3797868 3910672 4281005 4278489 4278447 3799529 4091877 3879518 4281294 3914928 4371930 4000418 4280721 3935616 3910702 4175401 4281391 4176781 3930052 4280703 4281093 4280849 
003406	PK20	1167851	14	4176698 4276714 4151426 4044450 4277274 3956631 4282188 4092335 3692316 4176789 4193252 4278990 4280157 4277782 4093015 4081695 4127521 4133513 4276333 3869959 4278991 4280693 4092920 4281002 4279995 4277523 4097054 3722764 4278485 4275431 4276567 4158492 4280880 4468375 4281628 4278351 4093973 4277607 4281093 4280050 3995568 3950836 4281868 
017120	PK20	0806046	15	4003177 3995730 4086397 3852791 3789283 3910526 3910688 3793534 3914552 3953819 4164342 3930967 3912597 3914344 4181152 4193360 3816108 4091443 4096706 3708949 4002914 3923376 3913768 4278360 4176624 4276567 4095965 3797266 4086300 4003045 4275712 3927400 4096206 3768515 4278355 3651348 3819353 3716140 4093409 3992528 3899772 3908314 3929586 3785953 
007375	PK20	0820103	16	4280591 4001881 3819645 4092144 4165491 3821034 4175472 3910680 3652353 4096186 3818807 3929222 3818480 3929894 4075429 3929704 4277782 3666995 3834985 3788919 3822148 3930763 3846234 4181151 3610287 4175355 3789529 3611135 4175373 4050929 3817379 4095133 4091895 4280864 4280913 3823092 3630474 4090844 3904411 3910712 4164263 3818676 3901790 4095472 3785953 
006847	PK20	0031347	17	3819393 3995730 3817487 3539996 3885128 4095301 3852791 3930302 3883991 4086377 4086364 3914552 3929222 4096177 3833378 3560236 3911054 3712888 4086241 3914344 4002075 3921208 3816104 3695145 3789529 3854723 3774808 3910617 3964186 3821632 3902905 3910738 3861195 3796247 3817969 3910702 3910704 3823094 4086415 3929812 4086222 4174206 3576379 3844962 
013613	PK20	0492580	18	4086411 4095302 3693840 4086281 4086284 4003131 4175499 4175498 4086369 3821886 4086353 4086356 3909951 4093026 3817087 4086240 3910586 4086323 4092801 4091672 4170471 4086269 3928826 4175370 3964183 4086270 4086457 4093607 4175309 4086425 3930485 3890005 3995568 4091806 3930042 4281869 
008764	PK25	4362871	1	4280591 4091784 4095047 4279855 3951543 4277527 4078277 4181031 4091767 3905623 4026411 4017901 4095086 3931970 4092290 3931962 4091072 4193360 4162177 3937404 4278489 4002914 3923376 4282008 4181049 4180325 4278734 3927400 4096206 3890005 4281628 4093159 3929810 3941070 4003485 4175250 
006504	PK25	3083296	2	4277844 4093423 3995227 3995719 4277527 3878563 3858245 4093853 4233573 4174380 4003434 3724014 4133513 3821179 4278491 4092819 3851846 4281005 4097054 3961853 4093282 3931388 4280524 3883637 4236548 4372198 3888348 4277951 4003168 3941668 
004012	PK25	3197197	3	3973168 4280622 4151626 4090749 4174392 4280375 4176668 3560236 4193341 4170524 4138433 4243051 4097054 4150362 4275712 4279649 4277951 4095243 4174231 4092173 
016609	PK25	4273392	4	3987067 4086398 3852791 3797168 3689328 3796007 3797192 4175465 3910674 3705083 4095224 3905868 3704166 3910492 3910470 3816336 3910642 3923473 3910672 4086496 3910592 3910594 3789529 3819613 3818746 3717137 3677885 3910722 4086309 3910555 3984532 3930831 3651348 4175546 3910576 3910570 4279708 4095472 3910507 3910506 
006043	PK25	0207327	5	4095047 3930683 3690799 3930303 3691783 3769368 3222918 4092290 3929679 3910654 3930296 3909951 3910487 3917445 3861339 3817507 3820963 3914754 3929468 3820971 3903994 3817637 4093607 3910695 4095001 4093989 3887957 3788990 3716140 3910629 4086223 4093293 4087228 
007407	PK25	0031631	6	3667385 3819645 3712913 3816992 3774943 3592680 3820479 3789136 3931323 3689328 3816970 3796007 3931688 3797192 3817682 3817260 3724014 3691616 3816336 3931959 3818762 3722764 3796723 3818746 3774116 3711406 3796964 3651750 3630474 3768356 3910712 3693185 3467384 3789573 3767997 
002876	PK25	1084458	7	4170472 4090814 3973168 4372233 4146034 4278829 4371947 3904102 4252142 4125081 3881597 3934527 3973885 4175486 4280174 4002113 4371919 4174768 4153409 4002909 3932941 3920668 4125799 3910608 3559872 4174480 4181243 3773692 3822912 4096262 4003839 3880322 4096899 
016952	PK25	4177943	8	4001881 4275968 3687862 3988502 4129521 3816463 3829442 3820587 3797206 4003131 3668130 3611048 3823151 3910493 4170444 3610382 4262071 3910648 3678357 4175344 3708638 4093282 4000195 4280526 3823262 4175360 3818675 3816708 4170423 3823473 3773692 4175546 3928966 3973360 
004275	PK25	0949010	9	3930841 3894530 4372230 3814107 3885128 4233573 3876667 4371969 3856450 4086348 4372246 3953233 4091072 4371035 4278491 4280182 4371917 4012510 4372006 3708949 3820974 4181049 4038907 4093748 4371933 3851736 4280889 4096206 4093973 4055257 4259993 
003014	PK25	3332662	10	4091784 4095046 3821044 4373611 4091510 4090806 3878563 3908117 4093324 3910582 3764207 3905861 4093015 3914814 4023438 4092670 4014292 4277915 4091672 3914724 4092833 3821632 4091805 3711406 3910558 3913606 3910700 3930052 3921659 4281093 4003163 3995568 3820032 
003454	PK25	3092941	11	3817981 3995227 3797324 3816997 3969305 4091773 4000249 3914449 4090975 3929289 3883991 4023528 3957394 3911048 3930190 4091718 4000195 4170477 3821589 4002806 3818770 3930721 4095004 3822731 4095807 4003839 3931889 4003485 
002397	PK25	0493725	12	3915028 3930118 4091784 4037411 4094012 3821273 3930890 4175374 4011555 4045331 4003130 4176079 3914498 4176023 4086474 3665300 3910937 3905822 3820397 3793612 4175371 3756293 3821632 4094175 3910691 3910636 4175400 3908300 3930137 3816549 4094815 
008420	PK25	4177943	13	3875914 3930865 4093475 4096983 4096186 4181991 4278454 4169489 3914696 4164342 4074784 3931962 3930614 4002846 4140702 4005905 3953233 4170524 3819230 3823262 3901936 3851736 4003199 4280648 3970633 4096206 3759024 3929810 
002571	PK25	0564741	14	4175523 3910514 4091996 3881597 4086378 3848104 3973885 3904645 3819143 3820729 4095234 4086346 4086345 4002113 3678357 3821554 3708638 4086322 3929468 3710476 3994843 3848415 3820378 4093611 3790857 3792350 3847728 4086430 3910715 3797331 3820038 
007396	PK25	0162977	15	3796148 3816992 3722992 3592680 4037708 3789136 3910343 3692316 3816970 4087169 4280157 3821088 3863747 3728679 3691616 3846234 3931959 4092928 3816104 3483059 3821766 3796723 3903986 3910720 3930547 3902905 4372030 3409210 4096261 3693185 3767997 
015113	PK25	0820103	17	4086413 3796148 3730202 3910532 3652353 3910670 3796906 3668130 3817260 3821088 4086351 3915267 3834985 3832060 3910673 3910588 4277915 3910661 3821571 3819367 3722926 3910604 3814239 3759872 3929235 3630501 3693501 4096251 
014099	PK25	0409956	16	4095301 3904320 3692316 3725997 3788897 3689328 3907037 3846717 3911054 3822778 3921208 3694712 3722764 3913768 4014851 4086447 3913807 3929849 3968696 3930817 3788743 3928966 3929586 3789573 
010851	PK25	0207327	18	3690361 3991180 3821044 4280948 3928890 3818480 3930469 3930296 3910649 3910641 3930168 3820963 3821643 3774021 4093611 3790857 3788990 3716140 4086223 3820038 3821077 3929979 
004010	PK278	4089710	1	3951018 3860357 3722992 4254672 4280941 4193252 3819269 4096983 3935260 3929704 4152983 4093015 3834985 4282115 3610287 4277523 4170471 4372021 4086277 3818770 3910609 4170423 3915042 4096266 3931881 4280849 
017118	PK278	4170165	2	4044087 3871572 3789283 3798513 4010147 4086280 3829442 3902404 4000812 3811941 3931970 4090730 4262071 4280500 4088956 3576990 3931836 3910848 4244933 3717137 3932941 3910725 4278573 3984532 4003534 4086443 3910766 3467384 
007007	PK278	0028980	3	4280591 4279260 4276714 4180395 3905623 4096749 3820858 4282099 4181991 4031284 3768339 4278454 4152983 4164342 3904251 4280500 4181152 4088956 4372390 4181049 3818746 4038907 4277162 4278734 4007305 4175407 4176818 4096251 
009362	PK278	0125630	4	3768088 4175389 4175500 4176789 3931323 3668130 3789070 4086342 3823387 3610382 3910648 4175344 4176023 3915243 3668378 3821571 3851736 4280880 4175308 4175410 4372037 3928949 3759872 4175310 4175409 4278355 4175327 4174231 4175337 
006500	PK278	0031399	5	3929776 3930674 4091510 4193260 4095425 4280947 4175516 3928890 3994733 4281029 4043840 3910641 3819230 4092928 4277924 4281002 4086327 4278481 3915243 4275431 4180508 4280864 4134616 4174231 4164263 3693891 4180447 
017106	PK278	3436165	6	3823338 3903861 4090975 4175478 3930864 4233573 3818805 3609553 3910464 4278491 3973119 3901722 3816174 3910937 3913815 3910609 3814239 4091895 3887480 4277607 3823228 3579361 
004838	PK278	0031373	7	3712913 3823338 4280642 3888468 3902196 3942061 3816860 3821195 4280947 4176086 4139961 4280375 3910649 4092675 4280697 4281005 3929864 3796926 4281294 3819585 4371932 4180435 4092823 3928949 3651750 3827187 3820037 4095472 
001546	PK278	0031756	8	4146462 3818064 3987067 4175451 3951543 4175440 4095053 3989696 4095088 4175380 4096176 4095234 3909951 4077315 4096706 4278489 3968696 3818227 4175302 4175300 3788983 3821254 4281869 3910508 4086236 
006851	PK278	1167884	9	3910741 4280622 4280138 4279624 4086619 4276023 4140259 4280375 4176079 4095083 3914498 4002094 3759092 4193341 4003642 3948045 4278489 4003188 4280525 4152941 4280721 4280653 4278351 4280907 
008423	PK278	4177943	10	3816997 3888468 4174660 4127367 4358230 3997010 3818805 3817419 4193293 3953825 3699613 3818771 3902614 4278485 3915243 3820768 3932943 4180325 4278734 4280653 4155489 4174957 4090844 3929810 4130250 3901669 
001845	PK278	3646542	11	4095301 4001999 4093066 4095424 4086287 4134408 4093853 3994652 3914552 3818025 4003434 4091072 3822778 3847931 3818762 3928589 3931946 4174617 3901731 3968696 3822201 3970633 4115871 4007305 4175330 
006539	PK278	3083296	12	4280622 4175299 4091767 3651486 3846717 3876667 4279329 3929419 4127521 3953825 3759552 4170524 3912597 3997576 3759127 3901004 3923376 3668365 3903520 3922542 3935616 3819353 3930052 3949607 3839352 
013627	PK278	3459335	13	3680751 3995730 3799593 3930302 3790244 3725997 3652353 3907037 3818807 3818024 3808480 3845742 3820732 3694712 3695145 3929849 3930817 3930544 3915040 3693712 4096913 3906818 3785953 3823307 
016984	PK278	1024995	14	4044087 3667654 3991180 3903909 3762625 3930891 4026411 3585962 4127014 3668130 3823151 3724014 4090730 4005905 3711797 3901004 3759337 4000195 3805981 4115871 4175404 4092767 4092173 
003019	PK278	4354612	15	3930070 4140278 4175524 4092144 4278528 3910524 3693840 4175292 4280941 3931686 3904254 4093026 4092819 4043543 3929472 3792443 4175363 4468375 3890005 4175405 4176781 3929979 
012107	PK278	0031619	16	3816997 3910179 4001431 4095876 3903861 4078277 3883991 4087169 3905868 3817419 4074784 3910583 4091443 3821766 3799529 4467145 3820768 3797266 3931453 4175888 3915042 3992528 
007381	PK278	0031611	17	4043326 3871572 4277274 4037708 3930864 4175513 3930469 4373612 4003415 4093255 3799474 3851846 3821766 3973119 4086313 3883637 3774116 3910553 4280078 3821016 3930831 4281391 3715444 
004276	PK278	1165566	18	3988502 4174908 4143476 4181991 4086294 4175351 4175490 4278454 4279035 4129668 4371971 4175348 4193360 3895612 4371910 4086477 3913164 4175375 3589576 3982946 3915099 3910632 
001249	PK180	0254151	1	3630526 3580586 3821059 3797164 3690845 3581265 3931971 3611048 3797839 3704166 3931064 3714653 3651465 3820397 3774808 3668365 3817177 3910738 3764422 3929165 3694668 3771747 3699567 
016852	PK180	3479968	2	3775417 4090814 3910745 4143476 3906250 4086294 3668130 3796974 3703938 3913437 3910649 3797532 3610287 3903520 3789315 3910567 4086501 3910713 3976786 3612203 4174840 3880322 
005154	PK180	1020104	3	3889653 3930070 4091785 3910179 3816180 3818782 3817261 4074784 3930614 3839910 4175368 3928941 4174957 3768025 3904411 3930220 4086083 4093119 3929800 
011295	PK180	4170297	4	4095301 3988502 3788897 4093475 4086279 4175480 3808480 3910481 3910647 4086249 3910584 4086477 3913164 4002909 3822218 3915099 3817969 4086216 3823402 3699567 3910185 
010725	PK180	3092941	5	3796148 3790792 3818274 3789283 3816181 3999899 3816860 4158080 4096749 4023528 3227350 3957394 3910496 3759552 3561430 3815902 3797084 3821766 3822201 4275712 3609407 3676165 3817969 
015500	PK180	0695890	6	4175523 4175531 4000483 4086379 3824908 3768339 4094613 3855583 3910656 4003415 4086254 4086317 4175373 3715155 3931453 4086424 3929237 4090841 3910576 3988063 4175551 
003007	PK180	3473854	7	3908117 4175389 3821034 4282099 3796906 4279920 4093015 3851913 4175489 4165503 3464954 4175347 4092819 4043543 3817637 3910610 4372023 4175309 4468375 4280913 4175327 
015135	PK180	3899727	8	3799593 4092159 4091996 4001999 4094796 3560236 4095897 3821097 4093806 4002075 3816108 4174617 3789529 4001588 3930547 4115871 3861195 3915711 4096262 3914502 
008770	PK180	0899465	9	3875914 4280030 4260945 4231518 4193260 4175521 4095424 4011555 4096749 4094613 4133513 3931836 4086227 4181143 3793612 4180434 4468375 3887957 3821069 4093416 
002567	PK180	4177047	10	4044087 4175533 3910524 4276023 4175291 3858245 4089004 4175511 3930253 3994733 3910469 4174776 3458065 4277909 4149852 3910557 4093970 4175548 4175437 4175438 4281886 
015855	PK180	3927894	11	4276195 4086480 4091782 4276031 3687862 3994726 4011555 3929739 4091899 3930705 3817427 4095965 4003199 3821632 3823278 4280658 4090845 4093970 4086404 3910766 4096251 
001164	PK180	4092864	12	3851827 3692316 4086279 3821088 3863747 3845742 4012510 3651465 3774808 3931449 4003045 3932089 4002806 3817177 4372039 4007305 3716140 4096913 4000336 3906818 3771747 
003270	PK180	0492451	13	4276195 3616206 4095053 3930891 4000483 4091439 3931202 3822148 3914750 3920306 4093748 3901731 3922542 3960504 3822731 3910427 4095128 4280864 4175437 4003839 
001424	PK180	0020093	14	4371026 3930260 3914552 4175357 4152351 4193293 4175482 3832060 4280182 3915054 3922150 4371940 3932941 4023381 4256760 4086501 4055257 4278383 4277616 4281886 
016843	PK180	4354084	15	4000862 4078277 4280138 3816466 3797192 3797206 3610671 3910471 3930614 4090714 3930705 4277162 3969108 3823278 3935616 3609407 3815949 4070957 3823092 3888348 
013193	PK180	0898918	16	3819393 3913671 3843290 3710991 3821166 3764208 3833378 3863747 3712888 3858042 3914344 3818762 3708949 3918056 3521001 3861195 3796247 3821069 3914502 3715444 
003441	PK180	0897706	17	4175523 3762625 3969305 4095302 3820010 3929635 3914449 4276256 4043840 3904251 3931001 3914745 3930162 4280465 3994843 3930220 4175436 
006045	PK180	0031526	18	4093423 3930301 3691783 3796906 4017901 4095080 4095086 3973885 4092290 4095234 3821958 4092833 4091936 3922542 3887957 3850568 4092769 3667464 
011962	PK338	0492451	1	3903909 3904334 3816463 4086379 3824908 4175281 4175284 4094613 3903092 3914745 4086244 4086473 4086317 3774021 3910548 3894333 3931453 4093186 3788983 
004282	PK338	1165566	2	3816993 3821269 3583596 3930260 3789439 4175287 3579867 3579645 3910870 4003642 3929864 3910595 4086309 3910605 3914251 3929237 3823094 3844962 
003029	PK338	4354612	3	4086215 4086281 4086356 3851913 4086345 3653200 4175347 4086240 3914754 4086323 3819177 4086269 4086260 3817637 4086270 3819598 3930034 3823402 3820032 
005723	PK338	4170914	4	4280642 4174660 4003389 4174272 3975962 4175388 4281029 4276333 4280500 3843810 4158492 4180435 4175309 4096738 3928941 3850568 4001712 4280050 
015445	PK338	0162976	5	3910744 3730202 3793534 3816466 3797576 3797683 3689944 3695345 3819542 3792443 3914354 3715174 3817427 3910668 3818227 3815949 3816549 3910766 
006538	PK338	4092861	6	3914515 4175492 3904320 4086387 3876667 4161057 4003434 3666995 4175394 3931962 3914371 4280525 3903994 4277162 3823092 3914502 4095472 
017168	PK338	0802802	7	4176698 4275968 4277525 4277527 3910687 4000253 3910470 4174837 4162177 3851736 4280880 4174957 4175888 3768025 4281628 4270406 4086083 
004356	PK338	0847593	8	3991180 4277844 4037708 4371024 4252142 4086619 3994726 4096186 4176077 3905460 3917445 4280697 4278447 4280524 4023381 4280721 4280078 4096261 
003460	PK338	3393009	9	3871577 4175299 3902404 4174392 3692164 4229863 4175485 4175481 3910499 3464954 3914745 3901004 3929468 4278350 4095807 3941070 4174840 
007028	PK338	0316015	10	4277662 4001999 4094796 4091163 4095424 3901577 4175286 4031284 4152767 3816108 3937404 3930705 3914928 3931449 3964186 4093973 3931881 4002166 
004016	PK338	3460456	11	4143065 4094498 4097018 4001662 4001717 4095897 4092675 3965315 3458065 3692536 4174768 4175962 3969108 4125799 4256760 3921659 4280706 
008469	PK338	3420576	12	4095876 4091439 3820858 4175354 3913781 3914696 4090730 3822148 3823387 4002846 4005905 3902614 3965315 4091443 3901936 4092004 3992528 3929810 
015016	PK338	3764403	13	4002204 3816992 4000862 4143065 4180395 3824908 4023528 3975962 4279035 4129668 4278034 4002113 4002909 3910618 3559872 4181243 4003319 
004889	PK338	0321808	14	3816180 3816860 3910686 3821180 3821886 3820380 3819585 3790825 3910609 3486653 3820900 3910630 3820958 3609410 3717144 3910713 3579361 
008773	PK338	3194197	15	3930891 4165491 4090975 4000483 4086377 4175358 4095083 4076454 3808480 4140702 3902614 3759127 4278485 3920306 3964186 4093612 4175771 4090841 
016846	PK338	3318436	16	4143065 4095309 3914683 4276023 3881597 3957394 3789070 4175394 3910642 4174776 4174889 3818770 4003534 4130250 4175422 3910507 
007041	PK338	0162976	17	3915038 3904320 3821059 4086379 4026411 3817261 4175497 4094613 3903092 3771823 4086466 3930168 3901722 3913396 4086457 3930054 4096266 3788743 
016844	PK338	0031572	18	3930070 3821269 4175470 4093324 4023438 4278366 4086445 3913815 4175405 3915044 4095930 3788983 4086083 4175331 3839352 
007403	PK243	0031611	1	3913671 3910347 3796237 4175290 3907037 3833378 3910492 3911054 3816336 3822778 3722764 3910848 3910721 3910555 3929235 3910501 
004066	PK243	1167978	2	3797324 3910517 3910527 3910531 3818025 3818029 3584557 3699613 3879197 3823311 3768625 3796254 3908300 3694668 3792350 3768034 3905715 
005190	PK243	1137952	3	4277525 3910523 3910532 3914696 3929704 3910468 3816483 4162177 3901936 3910725 3929849 3910549 3930025 3792406 3820958 3992528 3930042 
010965	PK243	0897706	4	3930303 4086376 4096358 3829442 3692164 3929222 3823151 3788919 3759552 3910464 3819309 3819304 3901004 3805981 3913159 3820992 
001750	PK243	4196252	5	3684090 3857764 3852217 3910497 3930763 3971828 3910678 3843810 3913159 4000367 3816486 4281409 3819353 3910622 
011342	PK243	3460456	6	4276195 4094012 4280138 4279624 4282099 4280786 4193293 4377190 4280524 4092823 4280898 4280475 4281892 4130250 4280607 
002412	PK243	0031373	8	4093959 3816203 4095206 3929651 3818805 3914498 4001654 4371973 4282115 3931946 4170471 3969108 4175377 4091936 4093989 4277616 
007128	PK243	3198619	7	3687862 3910753 3585962 3609553 4090714 3665300 3820395 3821571 3650225 3099420 3768620 3589576 3816708 3655428 3693501 4096251 
003275	PK243	0695890	9	4002204 3910515 3851838 3814296 3930891 4091163 4175287 4175463 4073784 3855583 3910650 3561430 3820970 3796964 3819628 3901254 
003008	PK243	3473854	10	4086350 3910740 4175389 4280140 3910471 3930168 4175361 4278618 4175300 3910633 4175409 4086220 4371991 4175333 4093119 
006060	PK243	0409737	11	3769368 3796906 3653200 3821393 3910487 3820963 3820971 3692862 3821643 3817637 3715155 3910695 3816486 3667464 3820038 3820032 
007398	PK243	0851717	12	3722992 3610681 3797168 3931323 4086371 3816970 3930469 3929704 3914814 3483059 3818746 3717137 4094813 3904965 3630474 
015416	PK243	3194197	13	3790792 4040430 3846234 3913138 3714653 3819546 3914906 4086323 3715174 4174897 3903833 3676165 4086436 4086437 3910626 4086409 
002564	PK243	0564741	15	4091782 4254672 4086215 4089004 4371955 3994733 4093282 3816174 4277909 4001588 3995802 3932943 4180325 3974846 4093970 3901254 
008769	PK243	3996107	14	4140278 4275968 4174908 3876667 4086269 4153409 3881459 3822731 4174957 3823473 4093409 4175540 4270406 4371943 
016923	PK243	0402773	16	3610120 4086382 4092633 3905871 3818773 4086334 4093814 4086255 4086497 4086472 4093778 3910601 4095001 3789493 3822912 
006860	PK243	3461209	17	4093959 4092795 4010147 4092633 3901577 3975962 3994876 4093778 4095001 3922542 3790857 3758045 4277951 4093159 4278383 
011859	PK243	3332662	18	3929776 3671929 4086215 3797683 3914754 3821571 3823278 3903833 3930034 3910695 4093370 3930054 
001444	TH110	0853792	1	3592680 3904102 3930260 4158080 3661465 4276784 3832060 3994876 3910673 3920668 4263456 4176818 4093370 3819433 3930042 
001763	TH110	4176433	2	4095047 4092894 4146034 3914449 4153480 4134408 3929222 4279329 3911048 4000195 4153409 3823192 3711406 3931889 4280607 
015841	TH110	3577228	3	4037708 3930865 3994652 3910670 4095071 3953819 3931970 3819230 4003045 4093186 3910564 3910568 3995576 3901669 
017127	TH110	1020104	4	3690361 4003177 4000812 4153748 4091718 4279995 3923376 4003188 3893220 4165473 4180508 4256760 3817962 
007051	TH110	0031336	5	3915028 3910518 4037411 3930890 4045331 3903092 3665300 3910937 3820397 4244933 3793612 4050929 4175400 
006034	TH110	0213446	6	3915026 4151626 4094640 4280948 4095088 4127521 4095703 3983482 4043543 4000502 4174768 3930817 3930034 3931666 
005263	TH110	0493855	7	4086417 3768972 3690799 3969305 3798513 3823387 3771823 3781152 3931453 3928941 4175312 3930197 3915042 3816832 
015243	TH110	0031631	8	3914515 3667385 3822995 3910343 3797168 3915155 3661465 4095224 3929894 3905868 3483059 3821008 3796964 
013213	TH110	3996564	9	3817001 4094498 4093066 4161057 3821958 4277924 4090714 3922150 4094175 4050929 4175407 4175349 4096914 3910713 
