013627	3459335	
010966	0775640	
006043	0207327	
016852	3479968	
006045	0031526	
012665	3332662	
006049	0972342	
005190	1137952	
008778	4168989	
002383	3473854	
004889	0321808	
011962	0492451	
010965	0897706	
008770	0899465	
002420	0695890	
008773	3194197	
008774	4168989	
013156	3198619	
004885	0672202	
015855	3927894	
004015	0854975	
013210	0031582	
017106	3436165	
017105	3436165	
017104	0431946	
007007	0028980	
006847	0031347	
004810	0697660	
003541	0599596	
003421	0024092	
001185	3646542	
011208	4354090	
001845	3646542	
006504	3083296	
011987	3764403	
010933	0853792	
006038	4177047	
001457	0901151	
016846	3318436	
015651	3478855	
016843	4354084	
015416	3194197	
002564	0564741	
008769	3996107	
007032	0031573	
011859	3332662	
004304	3448653	
006851	1167884	
004306	3646542	
002433	0697660	
007888	0772775	
009362	0125630	
005154	1020104	
010860	3461209	
014523	4170914	
016882	4091222	
004023	0854975	
017171	3995790	
014969	3448653	
014185	0599596	
015860	0125630	
009386	4354080	
004282	1165566	
001552	0129398	
003029	4354612	
004288	3646542	
016984	1024995	
015869	0701976	
014569	0409956	
002404	4354612	
001444	0853792	
008495	0316015	
012818	3448653	
008801	3996107	
016878	3443571	
001563	0031756	
001757	1008897	
012734	0772775	
006026	0972342	
001750	4196252	
006024	3839982	
006588	4092861	
003019	4354612	
017173	4464860	
006582	0564741	
007923	3435819	
005745	4362771	
011295	4170297	
011037	3083296	
011296	0431946	
011190	4354090	
004036	3646540	
012487	3083296	
011827	4090501	
016609	4273392	
005228	3448653	
004838	0031373	
011342	3460456	
016855	3474420	
013286	3318436	
006500	0031399	
013915	1168490	
012735	1168592	
004290	3646542	
002412	0031373	
002396	0020988	
002397	0493725	
001474	0020093	
010851	0207327	
017121	3995790	
006031	3839982	
005272	1137952	
005723	4170914	
001763	4176433	
013613	0492580	
016862	4168993	
001766	4360396	
002395	4358919	
001164	4092864	
014537	4170914	
008420	4177943	
008423	4177943	
016863	4168993	
002653	1167978	
001765	3927849	
015445	0162976	
007113	0316015	
001871	4090501	
013920	0897399	
004825	4358919	
015432	0129398	
015841	3577228	
009304	0493855	
010725	3092941	
006538	4092861	
006539	3083296	
015678	3478658	
016952	4177943	
001546	0031756	
001774	3474420	
001771	1061058	
015500	0695890	
015114	0820103	
011237	4354084	
015113	0820103	
005725	4362771	
013213	3996564	
008821	0031572	
012107	0031619	
002384	3473854	
014180	0599596	
013193	0898918	
002669	0897706	
004362	0775506	
013919	0897399	
015856	3927894	
002464	4354604	
001176	4354080	
017168	0802802	
002874	0031582	
002876	1084458	
003485	0024092	
002469	4358919	
006523	0031573	
005734	4362771	
007128	3198619	
003406	1167851	
007041	0162976	
004356	0847593	
002390	0316015	
008470	0695890	
002153	0428815	
